metric,score_mean,score_mean,score_std,score_std
phase,D,L2,D,L2
AL_step,,,,
0,0.13335241957563282,0.16504539089427028,0.12374383354513613,0.22115941830759928
1,0.06968631678751343,0.19604900121459845,0.09225375460841549,0.21949232182680514
2,0.12855128238349295,0.37885613232636767,0.10467664370955923,0.14302240104480982
3,0.3441471902736021,0.11351073934078311,0.22929973703102713,0.16812320822574434
4,0.16415706856618306,0.018619058581130256,0.12177192539147498,0.01857184512637669
5,0.13623841527413894,0.18668623645692636,0.13265026833639096,0.22739916099960902
6,0.15226697397713201,0.01564696315487427,0.12109867447088844,0.01168668642976373
7,0.13834119870122366,0.09472519409444283,0.12226167474513118,0.1363949744860448
8,0.16742618285537475,,0.1208811959000075,
9,0.1698798637502415,0.019873986634775735,0.11929596986752743,0.020775435401643012
10,0.16963646999397605,0.020057927560805495,0.12049881523327238,0.02179075915108225
11,0.16652425887825395,0.021384513805895324,0.12090247952401982,0.02380428573454932
12,0.13467012503946205,0.46419608126289014,0.10754638004387457,0.12245931040782523
13,0.1544828075968179,0.01679942283744758,0.11854709110156399,0.013945313063580081
14,0.15541551248949564,0.013381707459877167,0.12282714815764441,0.00911259062470346
15,0.15577224212236307,0.011783090735435589,0.12599403088514885,0.0062662681846866785
16,0.15664723308793216,0.015122618043850133,0.12495978586923068,0.011825737022725035
17,0.16167066907095715,0.01616836086927473,0.12231781586438535,0.013021524021941455
18,0.11251757616809864,0.1762802367954169,0.17571890974098298,0.22911851746079032
19,0.1444890217525025,0.015745733433928884,0.1302053409933049,0.015261777808056532
20,0.1451549853216572,0.015619710865453757,0.12877152992683746,0.012186125703580939
